,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
314,"http://www.1010jiajiao.com/daan/bookid_34232.html?mobile=2","209","156","49","31.41%","163","1,889","20.57%"," 00:05:59","9.04",
315,"http://www.1010jiajiao.com/daan/bookid_36490.html","208","125","43","34.4%","125","687","51.44%"," 00:01:43","3.3",
316,"http://www.1010jiajiao.com/daan/bookid_210736.html","208","183","39","21.31%","186","2,191","12.5%"," 00:08:57","10.53",
317,"http://www.1010jiajiao.com/daan/bookid_27170.html","207","184","103","55.98%","182","1,456","43.96%"," 00:02:39","7.03",
318,"http://www.1010jiajiao.com/daan/chapter_2887617.html","205","118","53","44.92%","126","969","28.78%"," 00:05:06","4.73",
319,"http://www.1010jiajiao.com/daan/bookid_155544.html","205","162","61","37.65%","165","1,984","24.39%"," 00:05:58","9.68",
320,"http://www.1010jiajiao.com/daan/bookid_163080.html","204","122","53","43.44%","122","1,013","55.39%"," 00:02:22","4.97",
321,"http://www.1010jiajiao.com/daan/bookid_64714.html","204","169","62","36.69%","169","1,286","20.59%"," 00:06:02","6.3",
322,"http://www.1010jiajiao.com/daan/bookid_157504.html","203","158","41","25.95%","157","1,583","29.56%"," 00:04:47","7.8",
323,"http://www.1010jiajiao.com/daan/bookid_203019.html","202","168","31","18.45%","170","1,982","16.34%"," 00:07:07","9.81",
324,"http://www.1010jiajiao.com/daan/bookid_210777.html","202","142","55","38.73%","144","2,785","18.32%"," 00:08:33","13.79",
325,"http://www.1010jiajiao.com/daan/bookid_157949.html","201","168","80","47.62%","166","1,996","31.34%"," 00:07:14","9.93",
326,"http://www.1010jiajiao.com/daan/bookid_202520.html","200","186","63","33.87%","184","2,113","19%"," 00:07:36","10.57",
327,"http://www.1010jiajiao.com/daan/bookid_148556.html","200","142","59","41.55%","142","1,034","42%"," 00:03:58","5.17",
328,"http://www.1010jiajiao.com/daan/chapter_2718215.html?from=singlemessage","199","148","50","33.78%","154","1,221","37.69%"," 00:04:09","6.14",
329,"http://www.1010jiajiao.com/daan/bookid_14330.html","199","185","119","64.32%","186","979","57.79%"," 00:02:32","4.92",
330,"http://www.1010jiajiao.com/daan/bookid_43293.html","199","143","69","48.25%","146","974","49.25%"," 00:02:42","4.89",
331,"http://www.1010jiajiao.com/daan/chapter_2904725.html","198","140","59","42.14%","142","740","39.9%"," 00:03:48","3.74",
332,"http://www.1010jiajiao.com/daan/bookid_152167.html","198","126","48","38.1%","130","934","37.88%"," 00:03:37","4.72",
