,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","110,630","99,795","81,046","81.21%","100,199","122,213","93%"," 00:02:57","1.1",
1,"http://www.1010jiajiao.com/qx_portal/doc/761026.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
2,"http://www.1010jiajiao.com/qx_portal/doc/228645.html","1","1","1","100%","1","1","100%"," 00:00:18","1",
3,"http://www.1010jiajiao.com/qx_portal/doc/350587.html","1","1","0","0%","1","2","0%"," 00:00:44","2",
4,"http://www.1010jiajiao.com/qx_portal/doc/48462.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
5,"http://www.1010jiajiao.com/qx_portal/doc/805849.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
6,"http://www.1010jiajiao.com/qx_portal/doc/272663.html","1","1","1","100%","1","1","100%"," 00:07:38","1",
7,"http://www.1010jiajiao.com/qx_portal/doc/875297.html","1","1","1","100%","1","1","100%"," 00:00:52","1",
8,"http://www.1010jiajiao.com/qx_portal/doc/44112.html","1","1","1","100%","1","1","100%"," 00:01:10","1",
9,"http://www.1010jiajiao.com/qx_portal/doc/723800.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
10,"http://www.1010jiajiao.com/qx_portal/doc/964799.html","1","1","0","0%","1","1","100%"," 00:00:20","1",
11,"http://www.1010jiajiao.com/qx_portal/doc/280491.html","1","1","1","100%","1","1","100%"," 00:01:28","1",
12,"http://www.1010jiajiao.com/qx_portal/doc/706561.html","1","1","1","100%","1","1","100%"," 00:05:02","1",
13,"http://www.1010jiajiao.com/qx_portal/doc/748729.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
14,"http://www.1010jiajiao.com/qx_portal/doc/694376.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
15,"http://www.1010jiajiao.com/qx_portal/doc/623826.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
16,"http://www.1010jiajiao.com/qx_portal/doc/425350.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
17,"http://www.1010jiajiao.com/qx_portal/doc/323838.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
18,"http://www.1010jiajiao.com/qx_portal/doc/695399.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
19,"http://www.1010jiajiao.com/qx_portal/doc/760316.html?_t_t_t=0.36077989783326914","1","1","1","100%","1","1","100%"," 00:02:00","1",
20,"http://www.1010jiajiao.com/qx_portal/doc/693075.html","1","1","1","100%","1","3","0%"," 00:03:34","3",
21,"http://www.1010jiajiao.com/qx_portal/doc/31160.html","1","1","0","0%","1","2","0%"," 00:00:38","2",
22,"http://www.1010jiajiao.com/qx_portal/doc/781868.html","1","1","0","0%","1","1","100%"," 00:02:00","1",
23,"http://www.1010jiajiao.com/qx_portal/doc/675841.html?_t_t_t=0.29906918613731226","1","1","1","100%","1","1","100%"," 00:02:00","1",
24,"http://www.1010jiajiao.com/qx_portal/doc/957849.html","1","1","1","100%","1","1","100%"," 00:00:14","1",
25,"http://www.1010jiajiao.com/qx_portal/doc/628985.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
26,"http://www.1010jiajiao.com/qx_portal/doc/684826.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
27,"http://www.1010jiajiao.com/qx_portal/doc/649635.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
28,"http://www.1010jiajiao.com/qx_portal/doc/850601.html","1","1","1","100%","1","2","0%"," 00:01:49","2",
29,"http://www.1010jiajiao.com/qx_portal/doc/732132.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
30,"http://www.1010jiajiao.com/qx_portal/doc/961088.html","1","1","1","100%","1","1","100%"," 00:00:10","1",
31,"http://www.1010jiajiao.com/qx_portal/doc/912878.html","1","1","1","100%","1","1","100%"," 00:04:51","1",
32,"http://www.1010jiajiao.com/qx_portal/doc/959098.html","1","1","1","100%","1","1","100%"," 00:00:21","1",
33,"http://www.1010jiajiao.com/qx_portal/doc/906256.html","1","1","1","100%","1","3","0%"," 00:13:49","3",
34,"http://www.1010jiajiao.com/qx_portal/doc/676608.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
35,"http://www.1010jiajiao.com/qx_portal/doc/183222.html","1","1","1","100%","1","1","100%"," 00:01:39","1",
36,"http://www.1010jiajiao.com/qx_portal/doc/910718.html","1","1","1","100%","1","1","100%"," 00:00:19","1",
37,"http://www.1010jiajiao.com/qx_portal/doc/657150.html","1","1","1","100%","1","2","0%"," 00:00:19","2",
38,"http://www.1010jiajiao.com/qx_portal/doc/677842.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
39,"http://www.1010jiajiao.com/qx_portal/doc/962676.html","1","1","1","100%","1","2","0%"," 00:12:20","2",
40,"http://www.1010jiajiao.com/qx_portal/doc/547786.html","1","1","0","0%","1","1","100%"," 00:02:00","1",
41,"http://www.1010jiajiao.com/qx_portal/doc/948177.html","1","1","1","100%","1","1","100%"," 00:00:13","1",
42,"http://www.1010jiajiao.com/qx_portal/doc/57353.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
43,"http://www.1010jiajiao.com/qx_portal/doc/624689.html","1","1","1","100%","1","1","100%"," 00:00:04","1",
44,"http://www.1010jiajiao.com/qx_portal/doc/66738.html?_t_t_t=0.3437150400215727","1","1","1","100%","1","1","100%"," 00:02:00","1",
45,"http://www.1010jiajiao.com/qx_portal/doc/966257.html","1","1","1","100%","1","1","100%"," 00:00:09","1",
46,"http://www.1010jiajiao.com/qx_portal/doc/62264.html?_t_t_t=0.04368542809970677","1","1","1","100%","1","1","100%"," 00:02:00","1",
47,"http://www.1010jiajiao.com/qx_portal/doc/971230.html","1","1","1","100%","1","1","100%"," 00:00:19","1",
48,"http://www.1010jiajiao.com/qx_portal/doc/666307.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
49,"http://www.1010jiajiao.com/qx_portal/doc/823989.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
50,"http://www.1010jiajiao.com/qx_portal/cat/3052.html","1","1","0","0%","1","1","100%"," 00:02:00","1",
51,"http://www.1010jiajiao.com/qx_portal/doc/816233.html","1","1","1","100%","1","1","100%"," 00:00:05","1",
52,"http://www.1010jiajiao.com/qx_portal/doc/58783.html","1","1","1","100%","1","7","0%"," 00:20:25","7",
53,"http://www.1010jiajiao.com/qx_portal/doc/119107.html","1","1","0","0%","1","1","100%"," 00:02:00","1",
54,"http://www.1010jiajiao.com/qx_portal/doc/43046.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
55,"http://www.1010jiajiao.com/qx_portal/doc/949007.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
56,"http://www.1010jiajiao.com/qx_portal/doc/39288.html?_t_t_t=0.8044849910498124","1","1","0","0%","1","3","0%"," 00:00:04","3",
57,"http://www.1010jiajiao.com/qx_portal/doc/877610.html","1","1","1","100%","1","1","100%"," 00:00:10","1",
58,"http://www.1010jiajiao.com/qx_portal/doc/49302.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
59,"http://www.1010jiajiao.com/qx_portal/doc/717172.html","1","1","1","100%","1","1","100%"," 00:00:16","1",
60,"http://www.1010jiajiao.com/qx_portal/doc/810707.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
61,"http://www.1010jiajiao.com/qx_portal/doc/28969.html","1","1","0","0%","1","1","100%"," 00:02:00","1",
62,"http://www.1010jiajiao.com/qx_portal/doc/811851.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
63,"http://www.1010jiajiao.com/qx_portal/doc/967634.html","1","1","1","100%","1","1","100%"," 00:00:07","1",
64,"http://www.1010jiajiao.com/qx_portal/doc/946572.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
65,"http://www.1010jiajiao.com/qx_portal/doc/577648.html","1","1","1","100%","1","1","100%"," 00:00:08","1",
66,"http://www.1010jiajiao.com/qx_portal/doc/966784.html","1","1","1","100%","1","1","100%"," 00:00:16","1",
67,"http://www.1010jiajiao.com/qx_portal/doc/785291.html","1","1","1","100%","1","1","100%"," 00:07:01","1",
68,"http://www.1010jiajiao.com/qx_portal/doc/962884.html","1","1","1","100%","1","4","0%"," 00:03:16","4",
69,"http://www.1010jiajiao.com/qx_portal/doc/918697.html","1","1","1","100%","1","1","100%"," 00:00:10","1",
70,"http://www.1010jiajiao.com/qx_portal/doc/362864.html","1","1","0","0%","1","1","100%"," 00:02:00","1",
71,"http://www.1010jiajiao.com/qx_portal/doc/105827.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
72,"http://www.1010jiajiao.com/qx_portal/doc/650411.html","1","1","0","0%","1","5","0%"," 00:24:02","5",
73,"http://www.1010jiajiao.com/qx_portal/doc/582951.html","1","1","1","100%","1","1","100%"," 00:00:31","1",
74,"http://www.1010jiajiao.com/qx_portal/doc/685793.html","1","1","1","100%","1","1","100%"," 00:00:12","1",
75,"http://www.1010jiajiao.com/qx_portal/doc/43007.html","1","1","1","100%","1","1","100%"," 00:00:09","1",
76,"http://www.1010jiajiao.com/qx_portal/doc/176059.html","1","1","1","100%","1","1","100%"," 00:02:30","1",
77,"http://www.1010jiajiao.com/qx_portal/doc/965277.html","1","1","1","100%","1","1","100%"," 00:02:14","1",
78,"http://www.1010jiajiao.com/qx_portal/doc/794994.html","1","1","1","100%","1","1","100%"," 00:00:03","1",
79,"http://www.1010jiajiao.com/qx_portal/doc/972168.html","1","1","1","100%","1","1","100%"," 00:11:47","1",
80,"http://www.1010jiajiao.com/qx_portal/doc/98122.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
81,"http://www.1010jiajiao.com/qx_portal/doc/297515.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
82,"http://www.1010jiajiao.com/qx_portal/doc/684577.html","1","1","1","100%","1","1","100%"," 00:02:00","1",
83,"http://www.1010jiajiao.com/qx_portal/doc/971746.html","1","1","1","100%","1","1","100%"," 00:00:03","1",
