,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
,"总计","83,529","74,884","44,169","58.98%","75,164","93,412","91.52%"," 00:02:15","1.12",
1,"http://www.1010jiajiao.com/xxsx/shiti_id_7931a54cdb4e7c777e4bcdfea2ff1525","772","768","680","88.54%","768","789","98.16%"," 00:01:59","1.02",
2,"http://www.1010jiajiao.com/xxsx/shiti_id_179188283fb9f943f1297df6b979c484","242","215","140","65.12%","216","256","95.36%"," 00:02:07","1.06",
3,"http://www.1010jiajiao.com/xxsx/index.php","239","238","123","51.68%","238","310","78.97%"," 00:00:40","1.3",
4,"http://www.1010jiajiao.com/xxsx/shiti_id_03e28f62f451206c486c217934ed89f4","217","207","190","91.79%","207","219","99.08%"," 00:01:33","1.01",
5,"http://www.1010jiajiao.com/xxsx/shiti_id_701bdfb5f51395dbf6f45826c8f94ed0","201","170","134","78.82%","172","220","94.47%"," 00:01:49","1.09",
6,"http://www.1010jiajiao.com/xxsx/shiti_id_5dd8194d844833a14ddaf5284f529bdc","174","160","88","55%","160","192","97.69%"," 00:02:39","1.1",
7,"http://www.1010jiajiao.com/xxsx/shiti_id_27d4cce6ce6515f0f3b17b94de925124","164","154","135","87.66%","153","167","98.16%"," 00:01:49","1.02",
8,"http://www.1010jiajiao.com/xxsx/shiti_id_becd720838f7aa2fe03fea6c0d9030f3","158","109","58","53.21%","110","170","92.99%"," 00:02:27","1.08",
9,"http://www.1010jiajiao.com/xxsx/shiti_id_91d6f7d8096e6e34aee4fb58fbdad42c","151","124","79","63.71%","124","160","95.3%"," 00:02:30","1.06",
10,"http://www.1010jiajiao.com/xxsx/shiti_id_2c9211b27b00040617bcbf851e7d0d8f","144","117","79","67.52%","116","158","94.24%"," 00:02:50","1.1",
11,"http://www.1010jiajiao.com/xxsx/shiti_id_3b667e2d2151ba86a0d65b4f870ac7f4","135","124","96","77.42%","126","154","90.08%"," 00:02:33","1.14",
12,"http://www.1010jiajiao.com/xxsx/shiti_id_ddc183a954e497e313b899d9034c1e3c","110","90","44","48.89%","91","126","92.66%"," 00:02:45","1.15",
13,"http://www.1010jiajiao.com/xxsx/shiti_id_42a1f5398c04878baad756ccb17f6294","97","85","76","89.41%","86","105","92.39%"," 00:02:08","1.08",
14,"http://www.1010jiajiao.com/xxsx/shiti_id_8a3e66f206750806537f783425f18aa9","93","74","58","78.38%","76","108","91.4%"," 00:03:12","1.16",
15,"http://www.1010jiajiao.com/xxsx/shiti_id_0e7b2a286c34bd5127ab4b91e273dce6","92","85","50","58.82%","84","96","96.63%"," 00:01:53","1.04",
16,"http://www.1010jiajiao.com/xxsx/shiti_page_110118","86","66","42","63.64%","67","139","60.47%"," 00:03:42","1.62",
17,"http://www.1010jiajiao.com/xxsx/shiti_id_8cbce7300b05a64e236452477db1eac9","85","65","35","53.85%","65","100","89.41%"," 00:03:08","1.18",
18,"http://www.1010jiajiao.com/xxsx/shiti_id_fe712742fe7803e478b83626cf60c5a3","84","80","71","88.75%","79","84","100%"," 00:01:38","1",
19,"http://www.1010jiajiao.com/xxsx/shiti_id_4c39f228dfb3d8976137303d5182e8a1","82","58","34","58.62%","60","84","97.56%"," 00:02:50","1.02",
20,"http://www.1010jiajiao.com/xxsx/shiti_id_ab89bb59bfad3eb1196e551c00887919","79","73","67","91.78%","73","82","97.47%"," 00:01:32","1.04",
21,"http://www.1010jiajiao.com/xxsx/shiti_id_5bc9e8f45c01cc0d2f2156944c720cd0","78","68","57","83.82%","68","85","92.31%"," 00:02:20","1.09",
22,"http://www.1010jiajiao.com/xxsx/shiti_id_1ea29d0513d5e0701b273336297f64e8","76","68","38","55.88%","67","84","91.89%"," 00:02:29","1.11",
23,"http://www.1010jiajiao.com/xxsx/shiti_id_b854818843c80a067a67662dd2a09aea","74","65","23","35.38%","65","80","91.78%"," 00:03:14","1.08",
24,"http://www.1010jiajiao.com/xxsx/shiti_id_3ff0f5df021020376dd83ee357de50d9","71","52","30","57.69%","52","84","85.92%"," 00:01:33","1.18",
25,"http://www.1010jiajiao.com/xxsx/shiti_id_b0240391009b70eca83692a1ed9401e4","70","52","43","82.69%","54","108","71.01%"," 00:02:11","1.54",
26,"http://www.1010jiajiao.com/xxsx/shiti_id_5a0f1ff19c8a7c3377d433d9ed8fcad3","67","55","37","67.27%","54","73","92.42%"," 00:02:09","1.09",
27,"http://www.1010jiajiao.com/xxsx/shiti_id_273fe0d757bb10360e47d3ca2d96f107","65","54","38","70.37%","54","81","90.77%"," 00:03:13","1.25",
28,"http://www.1010jiajiao.com/xxsx/shiti_id_c3beddea7a53b2aa7e951cc8ffa09897","65","61","31","50.82%","62","68","95.31%"," 00:02:13","1.05",
29,"http://www.1010jiajiao.com/xxsx/shiti_page_112692","65","51","27","52.94%","51","112","38.71%"," 00:02:14","1.72",
30,"http://www.1010jiajiao.com/xxsx/shiti_id_243e2bf343a4de5b15ccf5e3e00eef2f","65","55","36","65.45%","56","75","92.06%"," 00:03:03","1.15",
31,"http://www.1010jiajiao.com/xxsx/shiti_id_9780160a6f4f4c0f883654a48cf93977","64","60","35","58.33%","60","68","95.24%"," 00:01:56","1.06",
32,"http://www.1010jiajiao.com/xxsx/shiti_id_f3060a24d55987a48c8f20f7be01ec7a","61","51","21","41.18%","51","66","94.83%"," 00:02:49","1.08",
33,"http://www.1010jiajiao.com/xxsx/shiti_id_f7168b46f608a09cccd6b0ee52f2e639","60","51","22","43.14%","51","63","96.61%"," 00:02:06","1.05",
34,"http://www.1010jiajiao.com/xxsx/shiti_id_706aafe159f77f425dee6c3480bd191c","59","49","30","61.22%","50","60","98.31%"," 00:01:57","1.02",
35,"http://www.1010jiajiao.com/xxsx/shiti_id_7e152b84a44b27f804e6e3b3a0f9dec8","59","49","30","61.22%","49","66","93.22%"," 00:02:11","1.12",
36,"http://www.1010jiajiao.com/xxsx/shiti_page_110747","59","36","21","58.33%","37","94","47.46%"," 00:01:22","1.59",
37,"http://www.1010jiajiao.com/xxsx/shiti_id_38d09ff83b901537fdd07d81ad00533f","59","50","27","54%","50","66","93.1%"," 00:01:56","1.12",
38,"http://www.1010jiajiao.com/xxsx/shiti_id_0932ed56a94dc669bbc38a08b89cbdda","58","44","23","52.27%","44","62","96.55%"," 00:02:52","1.07",
39,"http://www.1010jiajiao.com/xxsx/shiti_id_4dd2a276c3529e057e83054759c2aec9","58","54","39","72.22%","54","59","98.15%"," 00:01:32","1.02",
40,"http://www.1010jiajiao.com/xxsx/shiti_id_cc36b7fca196e3ff68447239a8e1ff32","57","44","23","52.27%","44","59","96.49%"," 00:02:47","1.04",
41,"http://www.1010jiajiao.com/xxsx/shiti_id_7f093bb7c2a51705891d2c9d0eae14ac","57","45","19","42.22%","46","60","94.64%"," 00:03:47","1.05",
42,"http://www.1010jiajiao.com/xxsx/shiti_id_8042fc1a6c6bb9a23a795d28df7d28ec","55","45","30","66.67%","46","68","87.04%"," 00:03:23","1.24",
43,"http://www.1010jiajiao.com/xxsx/shiti_id_c0830c2430c7b289b8b906c634b6bb9e","54","49","26","53.06%","49","60","94.34%"," 00:02:13","1.11",
44,"http://www.1010jiajiao.com/xxsx/shiti_id_82c6345be40dc0a8e56d08e754e24d71","54","47","27","57.45%","47","57","94.34%"," 00:02:12","1.06",
45,"http://www.1010jiajiao.com/xxsx/shiti_id_524f3a0e72d841cf04cb9e78684a96e5","53","52","32","61.54%","52","60","92.31%"," 00:04:08","1.13",
46,"http://www.1010jiajiao.com/xxsx/shiti_id_17b1cf6b0c6c136e06f9e12c380cd20f","53","47","30","63.83%","47","53","100%"," 00:01:46","1",
47,"http://www.1010jiajiao.com/xxsx/shiti_id_4eb727487dd366bb7f417d5aea0fa0ec","53","52","30","57.69%","52","61","88.46%"," 00:01:53","1.15",
48,"http://www.1010jiajiao.com/xxsx/shiti_id_5d4b63d65f792642e7eba97e11345571","52","47","29","61.7%","48","57","92.31%"," 00:02:36","1.1",
49,"http://www.1010jiajiao.com/xxsx/shiti_id_3fa1d170c14980e778b4444f195e64ab","51","36","16","44.44%","36","60","86.27%"," 00:01:37","1.18",
50,"http://www.1010jiajiao.com/xxsx/shiti_id_14f758852b66cc9d12fb1069e1582afc","50","44","34","77.27%","45","50","100%"," 00:01:40","1",
51,"http://www.1010jiajiao.com/xxsx/shiti_id_1bd46bb99de76b9c506ee446a9f4c29a","49","39","31","79.49%","39","50","97.83%"," 00:01:47","1.02",
52,"http://www.1010jiajiao.com/xxsx/shiti_id_692e78b7a8c8d73c3e4d0b73b72f04ea","49","36","28","77.78%","36","52","93.75%"," 00:01:44","1.06",
53,"http://www.1010jiajiao.com/xxsx/shiti_id_7d56d10abc66db4f15549f8c63dc0269","49","48","20","41.67%","49","54","93.88%"," 00:02:39","1.1",
54,"http://www.1010jiajiao.com/xxsx/shiti_id_32c754d1ad0a7756e4c682f7a4800538","47","38","20","52.63%","38","53","90.91%"," 00:02:31","1.13",
55,"http://www.1010jiajiao.com/xxsx/shiti_id_62344c288b31b4f92ac8bff878243837","46","36","19","52.78%","37","50","95.35%"," 00:02:51","1.09",
56,"http://www.1010jiajiao.com/xxsx/shiti_id_0f354de5344af5c4c9793ac61acca2c1","45","33","23","69.7%","33","47","97.78%"," 00:02:12","1.04",
57,"http://www.1010jiajiao.com/xxsx/shiti_id_6231d9dafc29265f376ad3b08b9320c7","45","32","23","71.88%","32","48","93.33%"," 00:02:23","1.07",
58,"http://www.1010jiajiao.com/xxsx/shiti_id_684d76e8bda3c7dcda4fdb89ad27ccea","44","37","24","64.86%","38","44","100%"," 00:01:44","1",
59,"http://www.1010jiajiao.com/xxsx/shiti_id_145589a8afa7e701d172f242715f6fd6","44","38","33","86.84%","38","46","97.62%"," 00:01:46","1.05",
60,"http://www.1010jiajiao.com/xxsx/shiti_id_40825276a53b748c3f6c583abcbd7a52","44","33","21","63.64%","34","54","84.09%"," 00:03:13","1.23",
61,"http://www.1010jiajiao.com/xxsx/shiti_id_9383e2409cddf6d3051e4e4a7d8bda33","43","32","14","43.75%","33","53","87.8%"," 00:02:06","1.23",
62,"http://www.1010jiajiao.com/xxsx/shiti_id_70cd81787102908cc7b15ee0b5ba45ae","43","16","5","31.25%","16","52","86.05%"," 00:02:37","1.21",
